Video-Streaming;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";Codec;;;;Video;Link;Assessment
VS-G-1;"Fixed codec";720;80;50000;16;16;Reference;1080p;;;;"Beethoven: Symphony no. 5 in C Minor, op. 67 | Christian Thielemann (Full HD 1080p)
Excerpt from appr. 00:00:57 (h:min:sec) to 00:01:14 (h:min:sec).
(Alternative excerpt (t.b.d.): from 00:00:57 to 00:01:18).
Resolution: Auto, 1080p, 720p, 480p, 360p, 240p, 144p";https://www.youtube.com/watch?v=yTL8j-JU_ow;"Throughput (Full-HD)"
VS-G-2;"Fixed codec";720;63;20000;16;16;Assessment;1080p;;;;;;
VS-G-3;"Fixed codec";720;55;10000;16;16;Assessment;1080p;;;;;;
VS-G-4;"Fixed codec";720;50;5000;16;16;Var. Anchor 1;1080p;;;;;;
VS-G-5;"Fixed codec";3300;45;2000;160;160;Var. Anchor 2;1080p;;;;;;
VS-G-6;"Fixed codec";6450;42;1000;220;220;Assessment;1080p;;;;;;
VS-G-7;"Fixed codec";7500;41;750;235;235;Assessment;1080p;;;;;;
VS-G-8;"Fixed codec";9200;41;500;260;260;Assessment;1080p;;;;;;
VS-G-9;"Fixed codec";11600;40;100;400;400;Assessment;1080p;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";Codec;Dynamic;;;Video;Link;Assessment
VS-H-1;"Basic set";720;80;50000;16;16;Reference;Auto;A;;;"Beethoven: Symphony no. 5 in C Minor, op. 67 | Christian Thielemann (Full HD 1080p)
Excerpt from appr. 00:00:57 (h:min:sec) to 00:01:14 (h:min:sec).
(Alternative excerpt (t.b.d.): from 00:00:57 to 00:01:18).
Resolution: Auto, 1080p, 720p, 480p, 360p, 240p, 144p";https://www.youtube.com/watch?v=yTL8j-JU_ow;"Throughput (Full-HD)"
VS-H-2;"Basic set";720;63;20000;16;16;Assessment;Auto;A;;;;;
VS-H-3;"Basic set";720;55;10000;16;16;Assessment;Auto;A;;;;;
VS-H-4;"Basic set";720;50;5000;16;16;Assessment;Auto;A;;;;;
VS-H-5;"Basic set";3300;45;2000;160;160;Assessment;Auto;A;;;;;
VS-H-6;"Basic set";6450;42;1000;220;220;Assessment;Auto;A;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";Codec;Dynamic;;;Video;Link;Assessment
VS-I-1;"Basic set";720;80;50000;16;16;Reference;Auto;B;;;"Beethoven: Symphony no. 5 in C Minor, op. 67 | Christian Thielemann (Full HD 1080p)
Excerpt from appr. 00:00:57 (h:min:sec) to 00:01:14 (h:min:sec).
(Alternative excerpt (t.b.d.): from 00:00:57 to 00:01:18).
Resolution: Auto, 1080p, 720p, 480p, 360p, 240p, 144p";https://www.youtube.com/watch?v=yTL8j-JU_ow;"Throughput (Full-HD)"
VS-I-2;"Basic set";720;63;20000;16;16;Assessment;Auto;B;;;;;
VS-I-3;"Basic set";720;55;10000;16;16;Assessment;Auto;B;;;;;
VS-I-4;"Basic set";720;50;5000;16;16;Assessment;Auto;B;;;;;
VS-I-5;"Basic set";3300;45;2000;160;160;Assessment;Auto;B;;;;;
VS-I-6;"Basic set";6450;42;1000;220;220;Assessment;Auto;B;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";Codec;Dynamic;;;Video;Link;Assessment
VS-J-1;"Basic set";720;80;50000;16;16;Reference;Auto;C;;;"Beethoven: Symphony no. 5 in C Minor, op. 67 | Christian Thielemann (Full HD 1080p)
Excerpt from appr. 00:00:57 (h:min:sec) to 00:01:14 (h:min:sec).
(Alternative excerpt (t.b.d.): from 00:00:57 to 00:01:18).
Resolution: Auto, 1080p, 720p, 480p, 360p, 240p, 144p";https://www.youtube.com/watch?v=yTL8j-JU_ow;"Throughput (Full-HD)"
VS-J-2;"Basic set";720;63;20000;16;16;Assessment;Auto;C;;;;;
VS-J-3;"Basic set";720;55;10000;16;16;Assessment;Auto;C;;;;;
VS-J-4;"Basic set";720;50;5000;16;16;Assessment;Auto;C;;;;;
VS-J-5;"Basic set";3300;45;2000;160;160;Assessment;Auto;C;;;;;
VS-J-6;"Basic set";6450;42;1000;220;220;Assessment;Auto;C;;;;;
;;;;;;;;;;;;;;
