;;;;;;;;;;;;;;
Video-Streaming (VS);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";Codec;;;;Video;Link;Assessment
WB-I-10;"Basic set";205;80;100;18;18;Assessment;;;;
;;;;;;;;;;;
;;;;;;;;;;;;;;
Application Launch (AL);;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";"Codec";"Dynamic";"Num. Rebuffering";"Rebuffering duration  [ms]";"Web site";Link;Assessment
AL-J-1;"Basic set";40;350;50000;18;18;Reference;;;;;"Verbindungssuche über DB Navigator
Excerpt from 00:00 (min:sec) to 00:30 (min:sec).";app://de.hafas.android.db/de.bahn.dbtickets.ui.DBNavLauncherActivity;Throughput
AL-J-2;"Basic set";40;350;20000;18;18;Assessment;;;;
AL-J-3;"Basic set";40;350;10000;18;18;Assessment;;;;
AL-J-4;"Basic set";85;300;5000;18;18;Assessment;;;;
AL-J-5;"Basic set";160;220;2000;18;18;Assessment;;;;
AL-J-6;"Basic set";180;186;1000;18;18;Assessment;;;;
AL-J-7;"Basic set";184;180;750;18;18;Assessment;;;;
AL-J-8;"Basic set";190;172;500;18;18;Assessment;;;;
AL-J-9;"Basic set";200;155;200;18;18;Assessment;;;;
AL-J-10;"Basic set";205;80;100;18;18;Assessment;;;;
;;;;;;;;;;;
;;;;;;;;;;;
